year,team,wins,losses,win_loss_perc,points_diff,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,score_pct,turnover_pct,exp_pts_tot
bin_0,New England Patriots,14,bin_0,bin_3,bin_2,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_0,bin_0,bin_0,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1
bin_0,Miami Dolphins,10,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_2,bin_2,bin_1,bin_0,bin_0,bin_1,bin_0,bin_2,bin_1,bin_0,bin_2,bin_1,bin_1,bin_0,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1
bin_0,Buffalo Bills,6,bin_2,bin_1,bin_1,bin_0,bin_1,bin_0,bin_2,bin_2,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_0,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_0,bin_2,bin_0
bin_0,New York Jets,6,bin_2,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_0,bin_0,bin_0,bin_0,bin_1,bin_1,bin_1
bin_0,Baltimore Ravens,10,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_3,bin_2,bin_1,bin_0,bin_0,bin_0,bin_0,bin_2,bin_0,bin_0,bin_3,bin_2,bin_2,bin_2,bin_1,bin_2,bin_2,bin_1,bin_1,bin_2,bin_0
bin_0,Cincinnati Bengals,8,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1
bin_0,Pittsburgh Steelers,6,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_0,bin_0,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1
bin_0,Cleveland Browns,5,bin_2,bin_1,bin_1,bin_0,bin_1,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_2,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_2,bin_1
bin_0,Indianapolis Colts,12,bin_0,bin_2,bin_2,bin_2,bin_2,bin_2,bin_1,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_2,bin_3,bin_1,bin_2
bin_0,Tennessee Titans,12,bin_0,bin_2,bin_2,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_0,bin_2,bin_2,bin_2,bin_0,bin_1,bin_0,bin_0,bin_2,bin_2,bin_0,bin_2,bin_1,bin_1
bin_0,Jacksonville Jaguars,5,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1
bin_0,Houston Texans,5,bin_2,bin_1,bin_0,bin_0,bin_0,bin_1,bin_1,bin_1,bin_0,bin_0,bin_0,bin_0,bin_0,bin_2,bin_1,bin_0,bin_1,bin_0,bin_1,bin_1,bin_0,bin_2,bin_2,bin_1,bin_0,bin_1,bin_0
bin_0,Kansas City Chiefs,13,bin_0,bin_3,bin_2,bin_2,bin_1,bin_2,bin_1,bin_0,bin_2,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_2,bin_1,bin_1,bin_3,bin_1,bin_1,bin_0,bin_1,bin_1,bin_2,bin_0,bin_2
