wins,losses,points,points_opp,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,win_superbowl
14,2,348,238,5039,1042,4.8,24,11,294,320,537,0
10,6,311,261,4609,968,4.8,34,15,266,257,450,0
6,10,243,279,4348,980,4.4,34,17,268,293,502,0
9,7,416,353,6294,1055,6.0,24,11,336,333,520,0
7,9,283,346,4380,1001,4.4,29,9,264,271,515,0
5,11,270,379,4262,975,4.4,28,4,250,319,588,0
11,5,325,304,5141,1008,5.1,31,15,284,270,460,0
8,8,340,326,5438,1019,5.3,28,20,302,314,535,0
7,9,301,264,5453,1036,5.3,31,9,307,369,592,1
5,11,299,422,4357,930,4.7,31,10,252,230,460,0
12,4,447,328,5457,1054,5.2,39,16,335,377,600,0
10,6,404,327,5627,1017,5.5,29,13,338,317,521,0
7,9,384,337,5687,1038,5.5,25,10,313,299,511,0
4,12,225,452,4490,981,4.6,36,14,256,303,534,0
14,2,437,260,5722,1035,5.5,27,13,344,293,485,1
10,6,333,261,5438,996,5.5,16,5,313,282,438,0
9,7,395,284,4691,982,4.8,29,12,271,262,461,0
4,12,275,354,4404,1022,4.3,42,16,267,309,586,0
7,9,309,339,5128,1001,5.1,25,11,300,286,471,0
5,11,344,439,5487,1053,5.2,31,12,308,356,589,0
12,4,446,313,5542,996,5.6,18,10,328,288,450,0
10,6,381,304,6332,1070,5.9,29,9,351,303,521,0
7,9,483,435,6695,1089,6.1,27,10,398,370,561,0
8,8,319,392,5877,1011,5.8,39,17,321,372,580,0
6,10,284,322,4550,1047,4.3,29,11,280,299,533,0
2,14,259,452,4585,1026,4.5,40,19,280,325,561,0
10,6,379,338,5632,1031,5.5,24,9,334,352,564,1
9,7,318,317,5198,1026,5.1,30,14,274,291,556,0
5,11,271,367,4122,930,4.4,26,10,259,269,459,0
2,14,260,431,4053,954,4.2,24,11,243,270,449,0
13,3,395,258,5766,1030,5.6,16,9,330,279,465,0
10,6,403,325,6192,1059,5.8,23,13,347,317,507,0
9,7,418,312,5567,1022,5.4,28,12,337,338,526,0
4,12,290,383,4951,997,5.0,23,9,294,316,591,0
11,5,422,314,5787,1055,5.5,25,8,312,294,558,0
8,8,351,341,5225,1021,5.1,29,16,313,247,451,0
3,13,235,398,5031,1017,4.9,43,19,312,308,553,0
13,3,452,271,5915,1020,5.8,17,7,361,307,474,0
6,10,363,429,5571,1025,5.4,37,13,314,392,599,0
5,11,311,387,5575,1075,5.2,37,16,304,419,670,0
4,12,239,428,3587,865,4.1,35,14,191,204,389,0
12,4,385,237,5369,1055,5.1,27,15,330,326,527,0
10,6,316,295,4891,1013,4.8,25,9,289,313,488,0
7,9,300,311,4271,898,4.8,29,15,234,268,431,0
6,10,260,283,4960,1034,4.8,25,6,281,342,591,0
13,3,353,201,5072,1017,5.0,23,9,282,328,524,0
8,8,373,331,5462,994,5.5,24,11,313,327,523,0
8,8,353,315,5725,1041,5.5,37,14,327,312,523,1
4,12,238,356,4233,938,4.5,42,17,250,318,512,0
12,4,427,360,6070,1011,6.0,19,10,376,362,557,0
8,8,324,400,4810,945,5.1,26,7,261,226,447,0
8,8,371,274,5423,989,5.5,23,9,293,266,446,0
6,10,267,366,4463,955,4.7,25,12,282,329,481,0
14,2,492,303,5840,1016,5.7,15,6,321,287,466,0
9,7,331,315,5143,1004,5.1,26,14,310,272,450,0
9,7,319,305,4951,973,5.1,30,12,285,256,454,0
2,14,168,332,3939,949,4.2,46,22,243,263,483,0
10,6,398,328,6103,988,6.2,24,15,312,323,544,0
9,7,425,350,5772,1015,5.7,30,9,336,310,506,0
8,8,355,362,5214,1003,5.2,28,10,304,301,523,0
5,11,307,376,5243,979,5.4,17,7,295,274,470,0
13,3,427,255,5199,1042,5.0,36,14,300,282,514,0
8,8,301,366,5458,1085,5.0,33,15,301,350,630,0
6,10,282,327,4943,1025,4.8,32,12,272,332,540,0
4,12,268,355,4715,1011,4.7,25,6,286,310,512,0
